Тема,Социальная сеть,Целевая аудитория,Дополнительная информация,num_message,stage,prompt,model
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"Молодые люди, желающие участвовать в политической жизни",Помочь обсудить роль молодежи в политике,7,extract,3,gemma-2-9b-it-Q8_0_L
Как анализ больших данных помогает оптимизировать бизнес-процессы,ВКонтакте,Предприниматели и менеджеры,Поделиться опытом использования анализа данных,8,extract,3,gemma-2-9b-it-Q8_0_L
Перспективы развития аналитики больших данных,Instagram,Специалисты в области аналитики данных и IT,Информация о тенденциях развития аналитики данных. Полезно для обсуждения.,9,extract,3,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Все, кто интересуется влиянием медиа на общество",Обсудить роль социальных сетей в формировании мнений,10,extract,3,gemma-2-9b-it-Q8_0_L
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,Маркетологи и рекламодатели,Попробовать обсудить будущее интернет-рекламы,11,extract,3,gemma-2-9b-it-Q8_0_L
Как развить критическое мышление,Instagram,Все желающие научиться анализировать информацию и принимать обоснованные решения,Поделиться методами и упражнениями для развития критического мышления,12,extract,3,gemma-2-9b-it-Q8_0_L
Экологические проблемы современного мира,Instagram,"Все, кто заботится о будущем планеты",Обсудить экологические проблемы и способы их решения,13,extract,3,gemma-2-9b-it-Q8_0_L
Искусство медитации,Телеграм,"Люди, желающие научиться расслабляться и справляться со стрессом",Поделиться техниками медитации и её преимуществами,14,extract,3,gemma-2-9b-it-Q8_0_L
Как стать более организованным,Телеграм,"Все, кто хочет улучшить свою продуктивность и эффективность",Поделиться методами организации времени и пространства,15,extract,3,gemma-2-9b-it-Q8_0_L
Здоровое питание,Twitter,"Все, кто заботится о своем здоровье",Поделиться советами по выбору продуктов и составлению рациона,16,extract,3,gemma-2-9b-it-Q8_0_L
Развитие творческих способностей,Instagram,Все желающие раскрыть свой творческий потенциал,Поделиться методами и упражнениями для развития творческих способностей,17,extract,3,gemma-2-9b-it-Q8_0_L
Психология цвета,Телеграм,"Дизайнеры, маркетологи, все, кто хочет лучше понимать влияние цвета на восприятие информации",Поделиться исследованиями и рекомендациями по использованию цветов,18,extract,3,gemma-2-9b-it-Q8_0_L
Как управлять своими финансами,Телеграм,Все желающие научиться грамотно распоряжаться деньгами,"Поделиться советами по управлению бюджетом, инвестициям и сбережениям",19,extract,3,gemma-2-9b-it-Q8_0_L
Влияние музыки на настроение и работоспособность,Twitter,"Музыкант, психологи, люди интересующиеся саморазвитием",Поделиться исследованиями и рекомендациями по выбору музыки для разных ситуаций,20,extract,3,gemma-2-9b-it-Q8_0_L
Развитие эмоционального интеллекта,ВКонтакте,Все желающие лучше понимать свои и чужие эмоции,Поделиться методами и упражнениями для развития эмоционального интеллекта,21,extract,3,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на психическое здоровье,Телеграм,"Все, кто проводит много времени в интернете",Обсудить влияние социальных сетей на наше психическое состояние,22,extract,3,gemma-2-9b-it-Q8_0_L
Как справиться с выгоранием,Телеграм,"Все, кто чувствует усталость и потерю интереса к работе или учёбе",Поделиться методами борьбы с эмоциональным выгоранием,23,extract,3,gemma-2-9b-it-Q8_0_L
Влияние спорта на здоровье мозга,ВКонтакте,"Все, кто заботится о своём здоровье","Обсудить, как занятия спортом влияют на работу мозга",24,extract,3,gemma-2-9b-it-Q8_0_L
Как развить эмпатию,Twitter,"Все, кто хочет лучше понимать других людей",Поделиться методами развития эмпатии,25,extract,3,gemma-2-9b-it-Q8_0_L
Влияние музыки на память,Twitter,"Всех, кто хочет использовать музыку для улучшения своей памяти",Поделиться исследованиями и рекомендациями по выбору музыки для запоминания информации,26,extract,3,gemma-2-9b-it-Q8_0_L
Как создать гармоничные отношения,Телеграм,"Все, кто хочет построить крепкие и здоровые отношения",Поделиться советами по созданию гармонии в отношениях,27,extract,3,gemma-2-9b-it-Q8_0_L
Влияние стресса на организм,ВКонтакте,"Все, кто сталкивается со стрессом в повседневной жизни",Обсудить влияние стресса на физическое и психическое здоровье,28,extract,3,gemma-2-9b-it-Q8_0_L
Как развить креативность,Twitter,Все желающие научиться мыслить нестандартно и находить новые решения,Поделиться методами и упражнениями для развития креативности,29,extract,3,gemma-2-9b-it-Q8_0_L
Влияние технологий на образование,Телеграм,"Все, кто интересуется изменениями в образовательной сфере","Обсудить, как технологии влияют на качество и доступность образования",30,extract,3,gemma-2-9b-it-Q8_0_L
Как справиться с тревогой,Instagram,"Все, кто испытывает беспокойство и тревогу",Поделиться методами снижения тревоги и управления стрессом,31,extract,3,gemma-2-9b-it-Q8_0_L
Влияние искусства на эмоциональное состояние,ВКонтакте,"Любознательные люди, ценители искусства","Разжечь обсуждение о том, как искусство влияет на эмоции и настроение.",32,extract,3,gemma-2-9b-it-Q8_0_L
Как развить лидерские качества,Телеграм,"Люди, желающие стать лидерами или уже являющиеся ими",Поделиться методами развития лидерских качеств,33,extract,3,gemma-2-9b-it-Q8_0_L
Влияние питания на когнитивные функции,Instagram,"Все, кто хочет улучшить память и концентрацию",Поделиться исследованиями и рекомендациями по питанию для поддержания когнитивных функций,34,extract,3,gemma-2-9b-it-Q8_0_L
Как создать эффективную команду,Телеграм,"Все, кто работает в команде",Поделиться советами по формированию и управлению эффективной командой,35,extract,3,gemma-2-9b-it-Q8_0_L
Влияние окружающей среды на здоровье,ВКонтакте,"Все, кто заботится о своём здоровье",Обсудить влияние окружающей среды на физическое и психическое здоровье,36,extract,3,gemma-2-9b-it-Q8_0_L
Развитие навыков общения,Телеграм,Все желающие улучшить свои коммуникативные навыки,Поделиться методами развития навыков общения,37,extract,3,gemma-2-9b-it-Q8_0_L
Влияние путешествий на личность,Twitter,Любители путешествий,"Обсудить, как путешествия влияют на нашу личность и мировоззрение",38,extract,3,gemma-2-9b-it-Q8_0_L
Как развить самодисциплину,Телеграм,"Все, кто хочет достигать поставленных целей",Поделиться методами развития самодисциплины,39,extract,3,gemma-2-9b-it-Q8_0_L
Какие книги стоит прочитать каждому?,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение","Публикация должна привлечь внимание к книгам, которые могут изменить жизнь читателя.",0,extract,4,gemma-2-9b-it-Q8_0_L
Сколько книг нужно читать в год?,Телеграм,"Люди, интересующиеся интеллектуальным развитием и самосовершенствованием",Публикация должна содержать личный опыт и советы по чтению.,1,extract,4,gemma-2-9b-it-Q8_0_L
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, стремящиеся начать день с бодрости и энергии, заинтересованные в здоровом образе жизни",Публикация должна мотивировать аудиторию к выполнению утренней зарядки,2,extract,4,gemma-2-9b-it-Q8_0_L
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в своей жизни","Рассказ о преодолении препятствий и достижении целей, вдохновляющая история",3,extract,4,gemma-2-9b-it-Q8_0_L
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,Садоводы и огородники,Публикация поможет поделиться знаниями и опытом,4,extract,4,gemma-2-9b-it-Q8_0_L
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте",Информация поможет выбрать подходящие сорта.,5,extract,4,gemma-2-9b-it-Q8_0_L
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Люди, интересующиеся политикой и технологиями",Публикация должна способствовать обсуждению влияния ИИ на политическую сферу,6,extract,4,gemma-2-9b-it-Q8_0_L
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"Молодые люди, интересующиеся политикой",Публикация должна способствовать обсуждению роли молодежи в политике.,7,extract,4,gemma-2-9b-it-Q8_0_L
Как анализ больших данных помогает оптимизировать бизнес-процессы,ВКонтакте,"Предприниматели и менеджеры, стремящиеся повысить эффективность бизнеса",Поделиться опытом использования анализа данных,8,extract,4,gemma-2-9b-it-Q8_0_L
Перспективы развития аналитики больших данных в ближайшие годы,Instagram,Специалисты в области аналитики данных и IT,Публикация должна способствовать обсуждению тенденций развития аналитики данных,9,extract,4,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Все, кто интересуется влиянием медиа на общество",Публикация должна способствовать обсуждению роли социальных сетей в формировании мнений.,10,extract,4,gemma-2-9b-it-Q8_0_L
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,Маркетологи и рекламодатели,Публикация для обсуждения будущего интернет-рекламы,11,extract,4,gemma-2-9b-it-Q8_0_L
Развитие критического мышления,Instagram,Все желающие научиться анализировать информацию и принимать обоснованные решения,Публикация должна содержать методы и упражнения для развития критического мышления,12,extract,4,gemma-2-9b-it-Q8_0_L
Экологические проблемы современного мира,Instagram,"Люди, заботящиеся о будущем планеты",Публикация должна способствовать обсуждению экологических проблем и путей их решения,13,extract,4,gemma-2-9b-it-Q8_0_L
Искусство медитации,Телеграм,"Люди, желающие научиться расслабляться и справляться со стрессом",Публикации должны содержать техники медитации и её преимущества.,14,extract,4,gemma-2-9b-it-Q8_0_L
Как стать более организованным,Телеграм,"Все, кто хочет улучшить свою продуктивность и эффективность",Публикация должна содержать методы организации времени и пространства.,15,extract,4,gemma-2-9b-it-Q8_0_L
Здоровое питание,Twitter,"Люди, заботящиеся о своем здоровье",Создание постов с советами по выбору продуктов и составлению рациона.,16,extract,4,gemma-2-9b-it-Q8_0_L
Развитие творческих способностей,Instagram,Все желающие раскрыть свой творческий потенциал,Публикация должна содержать методы и упражнения для развития творческих способностей.,17,extract,4,gemma-2-9b-it-Q8_0_L
Психология цвета,Телеграм,"Дизайнеры, маркетологи, все, кто хочет лучше понимать влияние цвета на восприятие информации",Публикация должна содержать исследования и рекомендации по использованию цветов.,18,extract,4,gemma-2-9b-it-Q8_0_L
Управление финансами,Телеграм,Все желающие научиться грамотно распоряжаться своими деньгами,"Публикация должна содержать советы по управлению бюджетом, инвестициям и сбережениям",19,extract,4,gemma-2-9b-it-Q8_0_L
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, люди, интересующиеся использованием музыки для улучшения состояния",Публикация должна содержать краткий обзор исследований и рекомендации по выбору музыки для разных ситуаций.,20,extract,4,gemma-2-9b-it-Q8_0_L
Развитие эмоционального интеллекта,ВКонтакте,Все желающие лучше понимать свои эмоции и эмоции других людей,Публикация должна содержать методы и упражнения для развития эмоционального интеллекта,21,extract,4,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на психическое здоровье,Телеграм,"Люди, которые проводят много времени в интернете",Публикация должна способствовать обсуждению влияния социальных сетей на психическое состояние.,22,extract,4,gemma-2-9b-it-Q8_0_L
Как справиться с выгоранием,Телеграм,"Все, кто чувствует усталость и потерю интереса к работе или учёбе",Публикация должна содержать методы борьбы с эмоциональным выгоранием,23,extract,4,gemma-2-9b-it-Q8_0_L
Влияние спорта на здоровье мозга,ВКонтакте,"Все, кто заботится о своём здоровье",Публикация должна способствовать обсуждению влияния занятий спортом на работу мозга,24,extract,4,gemma-2-9b-it-Q8_0_L
Развитие эмпатии,Twitter,Все желающие лучше понимать других людей,Публикация должна содержать методы развития эмпатии.,25,extract,4,gemma-2-9b-it-Q8_0_L
Влияние музыки на память,Twitter,"Все, кто хочет использовать музыку для улучшения своей памяти",Публикация должна содержать исследования и рекомендации по выбору музыки для запоминания информации.,26,extract,4,gemma-2-9b-it-Q8_0_L
Как создать гармоничные отношения,Телеграм,"Все, кто хочет построить крепкие и здоровые отношения",Поделиться советами по созданию гармонии в отношениях,27,extract,4,gemma-2-9b-it-Q8_0_L
Влияние стресса на организм,ВКонтакте,"Все, кто сталкивается со стрессом в повседневной жизни",Публикация должна способствовать обсуждению влияния стресса на физическое и психическое здоровье,28,extract,4,gemma-2-9b-it-Q8_0_L
Как развить креативность,Twitter,Все желающие научиться мыслить нестандартно и находить новые решения,Публикация должна содержать методы и упражнения для развития креативности.,29,extract,4,gemma-2-9b-it-Q8_0_L
Влияние технологий на образование,Телеграм,"Все, кто интересуется изменениями в образовательной сфере",Публикация должна способствовать обсуждению влияния технологий на качество и доступность образования,30,extract,4,gemma-2-9b-it-Q8_0_L
Как справиться с тревогой,Instagram,"Люди, испытывающие беспокойство и тревогу",Публикация должна содержать методы снижения тревоги и управления стрессом,31,extract,4,gemma-2-9b-it-Q8_0_L
Влияние искусства на эмоциональное состояние,ВКонтакте,"Любознательные пользователи, интересующиеся искусством и его влиянием на человека","Публикация должна быть направлена на обсуждение того, как искусство влияет на наши эмоции и настроение.",32,extract,4,gemma-2-9b-it-Q8_0_L
Развитие лидерских качеств,Телеграм,"Люди, желающие развить лидерские качества или уже являющиеся лидерами",Публикация должна содержать методы развития лидерских качеств,33,extract,4,gemma-2-9b-it-Q8_0_L
Влияние питания на когнитивные функции,Instagram,"Все, кто хочет улучшить свою память и концентрацию",Публикация должна содержать исследования и рекомендации по питанию для поддержания когнитивных функций,34,extract,4,gemma-2-9b-it-Q8_0_L
Как создать эффективную команду,Телеграм,"Люди, работающие в команде",Поделиться советами по формированию и управлению эффективной командой,35,extract,4,gemma-2-9b-it-Q8_0_L
Влияние окружающей среды на здоровье,ВКонтакте,"Все, кто заботится о своем здоровье",Публикация должна способствовать обсуждению влияния окружающей среды на физическое и психическое здоровье.,36,extract,4,gemma-2-9b-it-Q8_0_L
Развитие навыков общения,Телеграм,Все желающие улучшить свои коммуникативные навыки,Публикация должна содержать методы развития навыков общения,37,extract,4,gemma-2-9b-it-Q8_0_L
Влияние путешествий на личность,Twitter,Любители путешествий,"Публикация должна способствовать обсуждению о том, как путешествия влияют на нашу личность и мировоззрение.",38,extract,4,gemma-2-9b-it-Q8_0_L
Как развить самодисциплину,Телеграм,"Все, кто хочет достигать поставленных целей",Публикация должна содержать методы развития самодисциплины,39,extract,4,gemma-2-9b-it-Q8_0_L
Список книг для расширения кругозора и поиска вдохновения,ВКонтакте,"Любители литературы, интересующиеся саморазвитием и поиском вдохновения",Предложить список из 5-7 книг разных жанров с кратким описанием их содержания и влияния на читателя. Призвать к обсуждению в комментариях.,0,extract,5,gemma-2-9b-it-Q8_0_L
Сколько книг нужно читать в год?,Telegram,"Любой пользователь, интересующийся саморазвитием и интеллектуальным ростом",Поделиться личным опытом чтения. Дать советы по выбору литературы и формированию чтеничной привычки.,1,extract,5,gemma-2-9b-it-Q8_0_L
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, интересующиеся здоровым образом жизни и фитнесом",Использовать визуальный контент: видео или фото с демонстрацией упражнений. Добавить хэштеги #зарядка #утренняязарядка #здоровыйобразжизни #фитнес,2,extract,5,gemma-2-9b-it-Q8_0_L
История успеха известного спортсмена: преодоление трудностей и достижение вершины,ВКонтакте,"Люди всех возрастов, интересующиеся спортом и мотивационными историями, а также те, кто сталкивается с трудностями в жизни","Рассказать о жизненном пути спортсмена, его препятствиях и как он их преодолел. Сфокусироваться на ценных уроках и мотивации для читателей.",3,extract,5,gemma-2-9b-it-Q8_0_L
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Telegram,Садоводы и огородники,,4,extract,5,gemma-2-9b-it-Q8_0_L
Лучшие сорта томатов для открытого грунта в Сибири,ВКонтакте,"Жители Сибири, интересующиеся садоводством и желающие выращивать томаты в открытом грунте","Предложить список сортов томатов, пригодных для сибирского климата. Указать особенности каждого сорта (урожайность, сроки созревания, устойчивость к болезням).",5,extract,5,gemma-2-9b-it-Q8_0_L
Влияние искусственного интеллекта на будущее мировой политики,Telegram,"Люди, интересующиеся политикой и технологиями","Стиль - информативный, но доступный для широкой аудитории. Поощрять обсуждение в комментариях.",6,extract,5,gemma-2-9b-it-Q8_0_L
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"Молодые люди 18-30 лет, интересующиеся политикой и общественной жизнью","Использовать интерактивные форматы: опросы, вопросы к подписчикам. Привлечь экспертов для комментариев.",7,extract,5,gemma-2-9b-it-Q8_0_L
Применение анализа больших данных для оптимизации бизнес-процессов,ВКонтакте,"Предприниматели и менеджеры, заинтересованные в повышении эффективности бизнеса",Поделиться опытом использования анализа данных для оптимизации бизнес-процессов. Пример успешного кейса.,8,extract,5,gemma-2-9b-it-Q8_0_L
Перспективы развития аналитики больших данных,Instagram,Специалисты в области аналитики данных и IT,Разместить информативный пост с обсуждением тенденций развития аналитики данных. Поощрить комментарии и дискуссию.,9,extract,5,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на формирование общественного мнения,Telegram,"Любознательные пользователи, интересующиеся медиа и обществом","Стиль - обсуждение, поощрение комментариев и дискуссий.  Использовать релевантные хэштеги для привлечения внимания.",10,extract,5,gemma-2-9b-it-Q8_0_L
Будущее интернет-рекламы: тренды и прогнозы,Telegram,Маркетологи и рекламодатели,"Стиль - информативный, обсуждающий. Цель - стимулировать дискуссию о будущем интернет-рекламы.",11,extract,5,gemma-2-9b-it-Q8_0_L
Развитие критического мышления,Instagram,Все желающие улучшить навыки анализа информации и принятия решений,Предложить методы и упражнения для развития критического мышления. Использовать хэштеги #критическоемышление #аналитика #решения,12,extract,5,gemma-2-9b-it-Q8_0_L
Экологические проблемы современного мира,Instagram,Все заинтересованные в сохранении окружающей среды,Размышления о проблемах и предложения по их решению. Использовать хэштеги #экология #охранаприроды #зеленоебудущее,13,extract,5,gemma-2-9b-it-Q8_0_L
Искусство медитации,Telegram,"Люди, желающие научиться расслабляться и справляться со стрессом",Поделиться техниками медитации и её преимуществами,14,extract,5,gemma-2-9b-it-Q8_0_L
Методы повышения организованности и продуктивности,Telegram,Все желающие улучшить свою организацию и эффективность,Поделиться практичными советами по организации времени и пространства.,15,extract,5,gemma-2-9b-it-Q8_0_L
Здоровое питание,Twitter,"Люди, интересующиеся здоровым образом жизни и питанием",Поделиться советами по выбору продуктов и составлению рациона. Использовать хэштеги #здоровоепитание #здоровье,16,extract,5,gemma-2-9b-it-Q8_0_L
Развитие творческих способностей,Instagram,Все желающие развить свой творческий потенциал,Поделиться методами и упражнениями для развития творческих способностей. Использовать хэштеги #творчество #развитие #творческийпотенциал,17,extract,5,gemma-2-9b-it-Q8_0_L
Психология цвета: влияние цвета на восприятие информации,Telegram,"Дизайнеры, маркетологи, все интересующиеся влиянием цвета на восприятие информации",Поделиться исследованиями и рекомендациями по использованию цветов в дизайне и маркетинге,18,extract,5,gemma-2-9b-it-Q8_0_L
Управление личными финансами,Telegram,"Взрослые 18-45 лет, заинтересованные в личном финансовом благополучии","Предложить практические советы по составлению бюджета, инвестированию и накоплению сбережений. Использовать понятный и доступный язык.",19,extract,5,gemma-2-9b-it-Q8_0_L
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, люди интересующиеся саморазвитием и улучшением качества жизни",Поделиться исследованиями и рекомендациями по выбору музыки для разных ситуаций. Использовать релевантные хэштеги.,20,extract,5,gemma-2-9b-it-Q8_0_L
Развитие эмоционального интеллекта,ВКонтакте,Все желающие повысить уровень эмоционального интеллекта,Поделиться методами и упражнениями для развития эмоционального интеллекта,21,extract,5,gemma-2-9b-it-Q8_0_L
Влияние социальных сетей на психическое здоровье,Telegram,"Все пользователи интернета, проводящие значительное время в социальных сетях",Формат поста: открытый диалог. Стиль: информативный и интерактивный. Поощрять обсуждение и обмен мнениями.,22,extract,5,gemma-2-9b-it-Q8_0_L
Методы борьбы с эмоциональным выгоранием,Telegram,"Все возрасты, испытывающие усталость и потерю интереса к работе или учебе",,23,extract,5,gemma-2-9b-it-Q8_0_L
Влияние спорта на здоровье мозга,ВКонтакте,"Все возрасты, интересующиеся вопросами здоровья и фитнеса",Разжечь дискуссию о пользе спорта для работы мозга. Предложить примеры видов спорта и их влияния на когнитивные функции.,24,extract,5,gemma-2-9b-it-Q8_0_L
Развитие эмпатии,Twitter,Все желающие улучшить свои коммуникативные навыки и лучше понимать других людей,Предложить практические методы развития эмпатии. Ограничить количество символов в соответствии с лимитами Twitter.,25,extract,5,gemma-2-9b-it-Q8_0_L
Влияние музыки на память,Twitter,Всех интересующихся саморазвитием и улучшением когнитивных функций,Поделиться научными исследованиями о влиянии музыки на память. Дать рекомендации по выбору музыки для запоминания информации.,26,extract,5,gemma-2-9b-it-Q8_0_L
Советы по созданию гармоничных отношений,Telegram,Все желающие построить крепкие и здоровые отношения,,27,extract,5,gemma-2-9b-it-Q8_0_L
Влияние стресса на организм,ВКонтакте,"Всех, кто сталкивается со стрессом в повседневной жизни",Обсудить влияние стресса на физическое и психическое здоровье,28,extract,5,gemma-2-9b-it-Q8_0_L
Развитие креативности,Twitter,Все желающие научиться мыслить нестандартно и находить новые решения,Поделиться методами и упражнениями для развития креативности. Использовать хэштеги #креативность #мышление #решения,29,extract,5,gemma-2-9b-it-Q8_0_L
Влияние технологий на образование,Telegram,Всех интересующихся изменениями в образовательной сфере,Разжечь дискуссию о влиянии технологий на качество и доступность образования,30,extract,5,gemma-2-9b-it-Q8_0_L
Методы борьбы с тревогой и стрессом,Instagram,"Люди всех возрастов, испытывающие тревогу и стресс","Использовать визуальный контент: иллюстрации, инфографику. Предложить практические советы по снижению тревоги и управлению стрессом.",31,extract,5,gemma-2-9b-it-Q8_0_L
Влияние искусства на эмоциональное состояние,ВКонтакте,"Любознательные пользователи, интересующиеся искусством и психологией",,32,extract,5,gemma-2-9b-it-Q8_0_L
Развитие лидерских качеств,Telegram,"Люди, желающие развить лидерские качества или уже являющиеся лидерами",Поделиться методами развития лидерских качеств,33,extract,5,gemma-2-9b-it-Q8_0_L
Влияние питания на когнитивные функции,Instagram,"Люди всех возрастов, интересующиеся здоровьем и саморазвитием, желающие улучшить память и концентрацию","Поделиться исследованиями и рекомендациями по питанию для поддержания когнитивных функций. Использовать визуальный контент: фото еды, инфографику.",34,extract,5,gemma-2-9b-it-Q8_0_L
Как создать эффективную команду,Telegram,"Работники, участвующие в командной работе",Предложить практические советы по формированию и управлению эффективными командами.,35,extract,5,gemma-2-9b-it-Q8_0_L
Влияние окружающей среды на здоровье,ВКонтакте,"Всех, кто заботится о своем здоровье",Развивать обсуждение о влиянии окружающей среды на физическое и психическое здоровье. ,36,extract,5,gemma-2-9b-it-Q8_0_L
Развитие навыков общения,Telegram,Все желающие улучшить свои коммуникативные навыки,Поделиться методами развития навыков общения,37,extract,5,gemma-2-9b-it-Q8_0_L
Влияние путешествий на личность,Twitter,"Любознательные люди, интересующиеся путешествиями и саморазвитием","Размышления о том, как путешествия меняют нас. Стиль - короткий текст с провокационным вопросом для обсуждения.",38,extract,5,gemma-2-9b-it-Q8_0_L
Развитие самодисциплины,Telegram,Все желающие повысить свою самодисциплину и достигать поставленных целей,Предложить практические методы и советы по развитию самодисциплины,39,extract,5,gemma-2-9b-it-Q8_0_L
Рекомендации по чтению,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение",,0,extract,0,saiga-llama-3-q8_0
Книжный вопрос,Телеграм,"Люди, интересующиеся самосовершенствованием и чтением",Публикация личного опыта и советов по чтению,1,extract,0,saiga-llama-3-q8_0
Топ-5 упражнений для утренней зарядки,Инстаграм,"те, кто стремится начать день с бодрости и энергии",,2,extract,0,saiga-llama-3-q8_0
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в своей жизни",Рассказ о преодолении препятствий и достижении целей,3,extract,0,saiga-llama-3-q8_0
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,"садоводы и огородники, желающие получить богатый урожай",,4,extract,0,saiga-llama-3-q8_0
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте",Информация о лучших сортах томатов для выращивания в открытом грунте в условиях Сибири,5,extract,0,saiga-llama-3-q8_0
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Все, кто интересуется политикой и технологиями",,6,extract,0,saiga-llama-3-q8_0
Роль молодёжи в политической жизни страны: возможности и перспективы,Инстаграм,"молодые люди, желающие участвовать в политической жизни",публикация для обсуждения роли молодежи в политике,7,extract,0,saiga-llama-3-q8_0
Как анализ больших данных помогает оптимизировать бизнес-процессы,ВКонтакте,"Преприниматели и менеджеры, стремящиеся повысить эффективность бизнеса",,8,extract,0,saiga-llama-3-q8_0
Перспективы развития аналитики больших данных в ближайшие годы,Инстаграм,Специалисты в области аналитики данных и IT,Публикация в социальной сети поможет обсудить тенденции развития аналитики данных,9,extract,0,saiga-llama-3-q8_0
